Date,Predicted_Close
2025-10-15,"113.104,00 USD"
2025-10-16,"118.373,68 USD"
2025-10-17,"117.597,73 USD"
2025-10-18,"116.018,86 USD"
2025-10-19,"115.992,55 USD"
2025-10-20,"114.615,18 USD"
2025-10-21,"114.774,31 USD"
