Date,Predicted_Close
2025-10-16,"112.072,00 USD"
2025-10-17,"118.373,68 USD"
2025-10-18,"117.597,73 USD"
2025-10-19,"116.018,86 USD"
2025-10-20,"115.992,55 USD"
2025-10-21,"114.615,18 USD"
2025-10-22,"114.774,31 USD"
