Fecha,Prediccion
2025-10-17,105439.3959375
2025-10-18,103619.52296875
2025-10-19,107324.8559375
2025-10-20,105909.215390625
2025-10-21,104808.469453125
2025-10-22,102436.2840625
2025-10-23,100009.1021875
