Date,Close_BTC,High_BTC,Low_BTC,Open_BTC,Volume_BTC,Close_GOLD,High,Low,Open,Volume,Close_SP500,High,Low,Open,Volume,Close_FED,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,GC=F,GC=F,GC=F,GC=F,GC=F,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^IRX,^IRX,^IRX,^IRX,^IRX
2020-10-17,11358.1015625,11386.26171875,11285.345703125,11322.123046875,19130430174,,,,,,,,,,,,,,,
2020-10-18,11483.359375,11483.359375,11347.578125,11355.982421875,18283314340,,,,,,,,,,,,,,,
2020-10-19,11742.037109375,11799.0927734375,11408.2900390625,11495.0380859375,23860769928,1906.4000244140625,1907.800048828125,1899.5,1907.300048828125,43.0,3426.919921875,3502.419921875,3419.929931640625,3493.659912109375,4091080000.0,0.09000000357627869,0.09300000220537186,0.08500000089406967,0.09300000220537186,0.0
2020-10-20,11916.3349609375,11999.91796875,11681.48046875,11745.974609375,30915821592,1910.4000244140625,1910.4000244140625,1896.0999755859375,1901.300048828125,329.0,3443.1201171875,3476.929931640625,3435.64990234375,3439.3798828125,3917850000.0,0.0949999988079071,0.0949999988079071,0.0949999988079071,0.0949999988079071,0.0
2020-10-21,12823.689453125,13184.56640625,11900.9287109375,11913.0771484375,43414712626,1924.5999755859375,1927.300048828125,1913.5999755859375,1913.5999755859375,1202.0,3435.56005859375,3464.860107421875,3433.06005859375,3439.909912109375,4103960000.0,0.09000000357627869,0.0949999988079071,0.09000000357627869,0.0949999988079071,0.0
2020-10-22,12965.8916015625,13161.59375,12717.09375,12801.6357421875,34729759598,1901.0999755859375,1924.300048828125,1898.199951171875,1924.300048828125,899.0,3453.489990234375,3460.530029296875,3415.340087890625,3438.5,4172060000.0,0.08500000089406967,0.08500000089406967,0.08299999684095383,0.08299999684095383,0.0
2020-10-23,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003,1902.0,1913.300048828125,1896.199951171875,1899.9000244140625,287.0,3465.389892578125,3466.4599609375,3440.449951171875,3464.89990234375,3651600000.0,0.08299999684095383,0.08500000089406967,0.08299999684095383,0.08299999684095383,0.0
2020-10-24,13108.0625,13145.06640625,12885.7470703125,12931.57421875,24542317940,1902.0,1913.300048828125,1896.199951171875,1899.9000244140625,287.0,3465.389892578125,3466.4599609375,3440.449951171875,3464.89990234375,3651600000.0,0.08299999684095383,0.08500000089406967,0.08299999684095383,0.08299999684095383,0.0
2020-10-25,13031.173828125,13329.18359375,12910.0615234375,13108.0634765625,24406920575,1902.0,1913.300048828125,1896.199951171875,1899.9000244140625,287.0,3465.389892578125,3466.4599609375,3440.449951171875,3464.89990234375,3651600000.0,0.08299999684095383,0.08500000089406967,0.08299999684095383,0.08299999684095383,0.0
2020-10-26,13075.248046875,13225.2978515625,12822.3828125,13031.201171875,29461458313,1902.699951171875,1907.0,1893.5,1895.5,242.0,3400.969970703125,3441.419921875,3364.860107421875,3441.419921875,4002210000.0,0.07999999821186066,0.08799999952316284,0.07999999821186066,0.08299999684095383,0.0
2020-10-27,13654.21875,13759.6689453125,13060.837890625,13075.2421875,33749878156,1908.800048828125,1908.800048828125,1904.4000244140625,1904.5999755859375,176.0,3390.679931640625,3409.510009765625,3388.7099609375,3403.14990234375,3962400000.0,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.0
2020-10-28,13271.28515625,13837.6953125,12932.2509765625,13654.21484375,35867318895,1876.199951171875,1876.199951171875,1870.9000244140625,1870.9000244140625,277.0,3271.030029296875,3342.47998046875,3268.889892578125,3342.47998046875,5139970000.0,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.0
2020-10-29,13437.8828125,13612.0478515625,12980.0595703125,13271.298828125,56499499598,1865.5999755859375,1879.800048828125,1858.800048828125,1876.0999755859375,240.0,3310.110107421875,3341.050048828125,3259.820068359375,3277.169921875,4911860000.0,0.08299999684095383,0.08500000089406967,0.08299999684095383,0.08299999684095383,0.0
2020-10-30,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201,1877.4000244140625,1886.5999755859375,1862.800048828125,1862.800048828125,725.0,3269.9599609375,3304.929931640625,3233.93994140625,3293.590087890625,4843930000.0,0.08299999684095383,0.08299999684095383,0.07999999821186066,0.08299999684095383,0.0
